http://www.w3.org/ns/prov#wasDerivedFrom,http://purl.org/dc/elements/1.1/format,CL,ORDER,FAMILY,S,N_DET,N_UND,N_TY,N_2T,SPEC,LO_NO,TRAN,DATE,OPEN
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,IN,ORTHOPTERA,TETTIGONIIDAE,P,0,2,0,0,0,2018012,LOAN,Wed Jul 11 00:00:00 CDT 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,IN,PHASMATODEA,PHASMATIDAE,P,0,2,0,0,0,2018012,LOAN,Wed Jul 11 00:00:00 CDT 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,AR,PHALANGIDA,ISCHYROPSALIDAE,V,-2,0,0,0,-1,2015003,RTRN,Tue Jul 17 00:00:00 CDT 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,AR,PHALANGIDA,PHALANGIDAE,S,0,0,0,0,0,2015003,RTRN,Tue Jul 17 00:00:00 CDT 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,AR,PHALANGIDA,PHALANGIIDAE,V,-70,-27,0,0,-10,2015003,RTRN,Tue Jul 17 00:00:00 CDT 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,AR,PHALANGIDA,?PHALANGIDA,V,0,-73,0,0,0,2015003,RTRN,Tue Jul 17 00:00:00 CDT 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,IN,COLEOPTERA,BUPRESTIDAE,P,-3,-1,0,0,-1,2014006,RTRN,Tue Jul 17 00:00:00 CDT 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,IN,TRICHOPTERA,LEPTOCERIDAE,P,-90,0,0,0,-1,2007013,RTRN,Tue Jul 17 00:00:00 CDT 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,IN,TRICHOPTERA,LEPTOCERIDAE,V,-139,0,0,0,-2,2007013,RTRN,Tue Jul 17 00:00:00 CDT 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,IN,HYMENOPTERA,ICHNEUMONIDAE,P,-34,-22,0,-2,-11,2015034,RTRN,Thu Aug 09 00:00:00 CDT 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,IN,NEUROPTERA,MANTISPIDAE,P,18,0,0,0,1,2018013,LOAN,Tue Sep 04 00:00:00 CDT 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,IN,BLATTODEA,BLABERIDAE,P,-1,0,0,0,-1,2018012,RTRN,Tue Sep 04 00:00:00 CDT 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,IN,COLEOPTERA,SCARABAEIDAE,P,0,0,0,0,0,2018012,RTRN,Tue Sep 04 00:00:00 CDT 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,IN,COLEOPTERA,SCARABAEIDAE,P,-6,0,0,0,-2,2018012,RTRN,Tue Sep 04 00:00:00 CDT 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,IN,HYMENOPTERA,POMPILIDAE,P,-2,-1,0,0,-1,2018012,RTRN,Tue Sep 04 00:00:00 CDT 2018,true
